brands,name,type,color,makeup
蘭蔻Lancome,零粉感超持久粉底SPF38/PA+++,粉底液,BO-03,專櫃
蘭蔻Lancome,零粉感超持久粉底SPF38/PA+++,粉底液,BO-04,專櫃
蘭蔻Lancome,零粉感超持久粉底SPF38/PA+++,粉底液,B-01,專櫃
蘭蔻Lancome,零粉感超持久粉底SPF38/PA+++,粉底液,B-02,專櫃
蘭蔻Lancome,零粉感超持久彈力水粉霜,其他,P-01,專櫃
蘭蔻Lancome,零粉感超持久彈力水粉霜,其他,PO-01,專櫃
蘭蔻Lancome,零粉感超持久彈力水粉霜,其他,PO-03,專櫃
蘭蔻Lancome,零粉感超持久彈力水粉霜,其他,BO-02,專櫃
蘭蔻Lancome,零粉感超持久彈力水粉霜,其他,PO-02,專櫃
蘭蔻Lancome,零粉感超持久彈力水粉霜,其他,B-01,專櫃
蘭蔻Lancome,零粉感光澤持妝粉底,粉底液,P-01,專櫃
蘭蔻Lancome,零粉感光澤持妝粉底,粉底液,PO-01,專櫃
蘭蔻Lancome,零粉感光澤持妝粉底,粉底液,PO-03,專櫃
蘭蔻Lancome,零粉感光澤持妝粉底,粉底液,BO-01,專櫃
蘭蔻Lancome,零粉感光澤持妝粉底,粉底液,B-01,專櫃
蘭蔻Lancome,零粉感光澤持妝粉底,粉底液,PO-02,專櫃
蘭蔻Lancome,零粉感超持久粉底棒,其他,010,專櫃
蘭蔻Lancome,零粉感超持久粉底棒,其他,01,專櫃
蘭蔻Lancome,零粉感超持久粉底棒,其他,035,專櫃
蘭蔻Lancome,零粉感超持久粉底棒,其他,025,專櫃
蘭蔻Lancome,零粉感超持久粉底棒,其他,055,專櫃
蘭蔻Lancome,零粉感超持久粉底棒,其他,005_BEIGE_IVOIRE,專櫃
Bobbi Brown芭比波朗,超持久無痕輕粉底 SPF15 PA++,粉底液,大地 NaturalOlive beige with neutral undertones; for medium skin.,專櫃
Bobbi Brown芭比波朗,超持久無痕輕粉底 SPF15 PA++,粉底液,暖大地 Warm Natural,專櫃
Bobbi Brown芭比波朗,超持久無痕輕粉底 SPF15 PA++,粉底液,"象牙米 Ivoryfair beige with light neutral undertones, for extra light to fair skin.",專櫃
Bobbi Brown芭比波朗,超持久無痕輕粉底 SPF15 PA++,粉底液,"嫩芽 BeigeMedium beige with neutral undertones, for light to medium skin.",專櫃
Bobbi Brown芭比波朗,超持久無痕輕粉底 SPF15 PA++,粉底液,暖象牙米 Warm Ivory,專櫃
Bobbi Brown芭比波朗,超持久無痕輕粉底 SPF15 PA++,粉底液,暖瑭瓷白 Warm PorcelainVery fair beige with yellow undertones; for extra light to fair skin.,專櫃
Bobbi Brown芭比波朗,超持久無痕輕粉底 SPF15 PA++,粉底液,暖柔沙 Warm SandGolden light beige with yellow undertones; for fair to light skin with redness.,專櫃
Bobbi Brown芭比波朗,超持久無痕輕粉底 SPF15 PA++,粉底液,瑭瓷白 PorcelainVery fair beige with neutral undertones; for extra light skin.,專櫃
Bobbi Brown芭比波朗,超持久無痕輕粉底 SPF15 PA++,粉底液,冷柔沙 Cool SandCool light beige with pink undertones; for fair to light skin.,專櫃
Bobbi Brown芭比波朗,超持久無痕輕粉底 SPF15 PA++,粉底液,柔沙 SandLight beige with neutral undertones; for fair to light skin.,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,暖瑭瓷白 Warm Porcelain,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,雪花白 Alabaster,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,自然象牙白 Neutral warm ivory,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,暖象牙米 Warm Ivory,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,明亮象牙白 Neutral ivory,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,自然雪花白 Neutral Alabaster,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,柔沙 Sand,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,嫩芽 Beige,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,冷嫩芽 Cool Beige,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,暖嫩芽 Warm Beige,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,暖柔沙 Warm Sand,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,暖大地 Warm Natural,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,自然柔沙 Neutral Sand,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,大地 Natural,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,蜂蜜 Honey,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,瑭瓷白 Porcelain,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,象牙米 Ivory,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,冷象牙米 Cool Ivory,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,冷柔沙 Cool Sand,專櫃
Bobbi Brown芭比波朗,冬蟲夏草精華粉底SPF40 PA++++,粉底液,自然瑭瓷白 Neutral Porcelain,專櫃
Bobbi Brown芭比波朗,高保濕修護精華氣墊粉底SPF40 PA++++,氣墊,Porcelain 瑭瓷白適合中性肌膚色調，非常白皙膚色,專櫃
Bobbi Brown芭比波朗,高保濕修護精華氣墊粉底SPF40 PA++++,氣墊,Extra Light 淺亮白適合中性肌膚色調，白皙膚色,專櫃
Bobbi Brown芭比波朗,高保濕修護精華氣墊粉底SPF40 PA++++,氣墊,Light 亮白適合中性肌膚色調，自然偏白膚色,專櫃
Bobbi Brown芭比波朗,高保濕修護精華氣墊粉底SPF40 PA++++,氣墊,Light to Medium 亮膚適合中性肌膚色調，自然膚色,專櫃
Bobbi Brown芭比波朗,高保濕修護精華氣墊粉底SPF40 PA++++,氣墊,Medium 自然適合中性肌底色調，健康膚色,專櫃
Bobbi Brown芭比波朗,高保濕修護精華氣墊粉底SPF40 PA++++,氣墊,Medium to Dark 大地適合中性肌膚色調，小麥膚色,專櫃
Bobbi Brown芭比波朗,冬蟲夏草極萃粉底霜 SPF 25++ 30ml,粉底霜,Warm Ivory 暖象牙米,專櫃
Bobbi Brown芭比波朗,冬蟲夏草極萃粉底霜 SPF 25++ 30ml,粉底霜,Sand 柔沙,專櫃
Bobbi Brown芭比波朗,冬蟲夏草極萃粉底霜 SPF 25++ 30ml,粉底霜,Porcelain 瑭瓷白,專櫃
Bobbi Brown芭比波朗,冬蟲夏草極萃粉底霜 SPF 25++ 30ml,粉底霜,Beige嫩芽,專櫃
Bobbi Brown芭比波朗,冬蟲夏草極萃粉底霜 SPF 25++ 30ml,粉底霜,Warm Porcelain 暖瑭瓷白,專櫃
Bobbi Brown芭比波朗,羽潤親膚粉餅,粉餅,暖象牙米 Warm Ivory,專櫃
Bobbi Brown芭比波朗,羽潤親膚粉餅,粉餅,大地 Natural,專櫃
Bobbi Brown芭比波朗,羽潤親膚粉餅,粉餅,嫩芽 Beige,專櫃
Bobbi Brown芭比波朗,羽潤親膚粉餅,粉餅,暖嫩芽 Warm Beige,專櫃
Bobbi Brown芭比波朗,羽潤親膚粉餅,粉餅,暖柔沙 Warm Sand,專櫃
Bobbi Brown芭比波朗,羽潤親膚粉餅,粉餅,暖瑭瓷白 Warm Porcelain,專櫃
Bobbi Brown芭比波朗,羽潤親膚粉餅,粉餅,暖象牙米 Warm Ivory,專櫃
Bobbi Brown芭比波朗,羽潤親膚粉餅,粉餅,柔沙 Sand,專櫃
Bobbi Brown芭比波朗,羽潤親膚粉餅,粉餅,瑭瓷白 Porcelain,專櫃
YSL,恆久完美無瑕持妝粉底,粉底液,LC1,專櫃
YSL,恆久完美無瑕持妝粉底,粉底液,LC2,專櫃
YSL,恆久完美無瑕持妝粉底,粉底液,LC3,專櫃
YSL,恆久完美無瑕持妝粉底,粉底液,LC6,專櫃
YSL,恆久完美無瑕持妝粉底,粉底液,LN1,專櫃
YSL,恆久完美無瑕持妝粉底,粉底液,LN4,專櫃
YSL,恆久完美無瑕持妝粉底,粉底液,LN7,專櫃
YSL,恆久完美無瑕持妝粉底,粉底液,LW1,專櫃
YSL,恆久完美無瑕持妝粉底,粉底液,LW4,專櫃
YSL,恆久完美無瑕持妝粉底,粉底液,LW7,專櫃
YSL,恆久完美無瑕持妝粉底,粉底液,MN7,專櫃
YSL,超模光感極潤粉底,粉底液,B10,專櫃
YSL,超模光感極潤粉底,粉底液,B20,專櫃
YSL,超模光感極潤粉底,粉底液,B25,專櫃
YSL,超模光感極潤粉底,粉底液,B30,專櫃
YSL,超模光感極潤粉底,粉底液,B40,專櫃
YSL,超模光感極潤粉底,粉底液,BR10,專櫃
YSL,超模光感極潤粉底,粉底液,BR20,專櫃
YSL,超模聚焦光感粉底液,粉底液,BR20,專櫃
YSL,超模聚焦光感粉底液,粉底液,B10,專櫃
YSL,超模聚焦光感粉底液,粉底液,B20,專櫃
YSL,超模聚焦光感粉底液,粉底液,B30,專櫃
YSL,超模聚焦光感粉底液,粉底液,B40,專櫃
YSL,超模聚焦光感粉底液,粉底液,BD10,專櫃
YSL,超模聚焦光感粉底液,粉底液,BD25,專櫃
YSL,逆齡肌密精萃粉底,粉底液,B10,專櫃
YSL,逆齡肌密精萃粉底,粉底液,B20,專櫃
YSL,逆齡肌密精萃粉底,粉底液,B30,專櫃
YSL,逆齡肌密精萃粉底,粉底液,BR20,專櫃
YSL,超模聚焦光感粉餅,粉餅,BR10,專櫃
YSL,超模聚焦光感粉餅,粉餅,BR20,專櫃
YSL,超模聚焦光感粉餅,粉餅,B10,專櫃
YSL,超模聚焦光感粉餅,粉餅,B20,專櫃
YSL,超模聚焦光感粉餅,粉餅,B30,專櫃
YSL,超模聚焦光感粉餅,粉餅,B40,專櫃
YSL,超模聚焦光感粉餅,粉餅,BD10,專櫃
YSL,超模光感精華水氣墊SPF50+/PA ++++,氣墊,B10,專櫃
YSL,超模光感精華水氣墊SPF50+/PA ++++,氣墊,B20,專櫃
YSL,超模光感精華水氣墊SPF50+/PA ++++,氣墊,B25,專櫃
YSL,超模光感精華水氣墊SPF50+/PA ++++,氣墊,B30,專櫃
YSL,超模光感精華水氣墊SPF50+/PA ++++,氣墊,BR10,專櫃
YSL,超模光感精華水氣墊SPF50+/PA ++++,氣墊,BR20,專櫃
YSL,恆久完美霧光氣墊粉餅SPF23 / PA++,氣墊,10,專櫃
YSL,恆久完美霧光氣墊粉餅SPF23 / PA++,氣墊,15,專櫃
YSL,恆久完美霧光氣墊粉餅SPF23 / PA++,氣墊,20,專櫃
YSL,恆久完美霧光氣墊粉餅SPF23 / PA++,氣墊,25,專櫃
YSL,恆久完美霧光氣墊粉餅SPF23 / PA++,氣墊,30,專櫃
YSL,恆久完美霧光氣墊粉餅SPF23 / PA++,氣墊,35,專櫃
Estee Lauder 雅詩蘭黛,Double Wear?粉持久完美持妝粉底SPF10/PA++,粉底液,1C0 Shell-色號15,專櫃
Estee Lauder 雅詩蘭黛,Double Wear?粉持久完美持妝粉底SPF10/PA++,粉底液,1C1 Cool Bone-色號66,專櫃
Estee Lauder 雅詩蘭黛,Double Wear?粉持久完美持妝粉底SPF10/PA++,粉底液,1N1 Ivory Nude-色號72,專櫃
Estee Lauder 雅詩蘭黛,Double Wear?粉持久完美持妝粉底SPF10/PA++,粉底液,1N2 Ecru-色號16,專櫃
